video_id,label,shot_time,shot_frames,shot_time_s,blond_frame,blonding_rate,blonding_rate_norm,channeling_range,channeling_range_norm,channeling_coverage_norm,t_blond_20_s,t_blond_40_s,t_blond_60_s,t_blond_80_s,t_channel_5_s,t_channel_10_s,channel_peak_s,channel_peak_value,channel_recovery_s,flow_quality_score,channel_quality_score,overall_quality_score,channel_global_lr_asymmetry,channel_global_tb_asymmetry,channel_mean_spatial_entropy,diag_flag_choked_restricted_flow,diag_flag_count,diag_flag_dry_zone_dead_zone,diag_flag_global_high_channeling_unstable_puck,diag_flag_gushing_low_resistance_flow,diag_flag_likely_over_extraction_long_slow_blonding,diag_flag_likely_under_extraction_fast_early_blonding,diag_flag_localized_single_quadrant_channeling,diag_flag_one_sided_extraction_bias,diag_flag_uneven_extraction_long_high_channeling,diag_max_flag_score,diag_score_choked_restricted_flow,diag_score_dry_zone_dead_zone,diag_score_global_high_channeling_unstable_puck,diag_score_gushing_low_resistance_flow,diag_score_likely_over_extraction_long_slow_blonding,diag_score_likely_under_extraction_fast_early_blonding,diag_score_localized_single_quadrant_channeling,diag_score_one_sided_extraction_bias,diag_score_uneven_extraction_long_high_channeling,diag_stat_blond_20_norm,diag_stat_blond_20_s,diag_stat_blond_60_norm,diag_stat_blond_60_s,diag_stat_blond_80_norm,diag_stat_blond_80_s,diag_stat_blond_rate,diag_stat_blonding_change,diag_stat_bottom_share,diag_stat_brightness_change,diag_stat_channel_high_frame_ratio,diag_stat_channel_lr_bias,diag_stat_channel_mean_norm,diag_stat_channel_mean_raw,diag_stat_channel_moderate_frame_ratio,diag_stat_channel_peak_norm,diag_stat_channel_peak_raw,diag_stat_channel_quality_score,diag_stat_channel_spatial_entropy,diag_stat_channel_std_norm,diag_stat_channel_tb_bias,diag_stat_channel_valid_ratio,diag_stat_dominant_quadrant_share,diag_stat_dominant_to_mean_other_ratio,diag_stat_dominant_to_second_ratio,diag_stat_flow_end_confidence,diag_stat_flow_quality_score,diag_stat_flow_start_confidence,diag_stat_flow_start_s,diag_stat_left_share,diag_stat_right_share,diag_stat_shot_time_s,diag_stat_side_bias_strength,diag_stat_side_dominance_ratio,diag_stat_top_share,diag_stat_vertical_dominance_ratio,diag_stat_weakest_quadrant_share,diag_stat_weakest_to_mean_other_ratio
10,1,20.4,102,20.4,41,0.09451743574916488,0.4633405742987215,1421.0,0.9786501377410468,0.33774199334906374,0.0,0.0,0.2,9.4,0.0,0.0,4.8,27.91663462277936,7.0,0.2704823399834967,1.0,0.6352411699917484,-0.40800153506667947,-0.03651539863762832,0.834797739982605,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1018,0.8314,0.9276,0.2036,0.0165,0.7876,0.7694,1.0,0.5829,0.0,0.0,0.009900990099009901,0.2,0.46534653465346537,9.4,0.09451743574916488,0.9584398932444551,0.5182576993188142,89.26099395751953,0.3627450980392157,-0.40800153506667947,9.823336387381834,510.9313659667969,0.4215686274509804,27.91663360595703,1452.0,1.0,0.834797739982605,11.683148126242811,-0.03651539863762832,1.0,0.3586875179890627,1.677906767997128,1.0387308290731274,0.9728980519495132,0.2704823399834967,0.048066628017480226,0.0,0.7040007675333397,0.29599923246666027,20.4,0.40800153506667947,2.3783871385971738,0.48174230068118584,1.075798613877161,0.1230547826921232,0.4209662596822896
11,1,51.0,255,51.0,242,0.08405481692817475,0.40595317892802024,440.0,0.990990990990991,0.35599821746880567,0.4,0.6,0.8,0.8,,,3.2,1.6234300444249437,6.2,0.2508247954803502,0.9294068652391434,0.5901158303597468,-0.2114835339208554,0.4226008837243366,0.8376290202140808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3974,0.3974,0.0,0.0,0.3529,0.0262,0.3529,0.0,0.0,0.0,0.007874015748031496,0.4,0.015748031496062992,0.8,0.015748031496062992,0.8,0.08405481692817475,0.8807922601699828,0.2886995581378317,127.9369888305664,0.0,-0.2114835339208554,0.5873570484675321,160.63922119140625,0.0,1.6234300136566162,444.0,0.9294068652391434,0.8376290202140808,0.3058431385707426,0.4226008837243366,1.0,0.4189878670995777,2.163403361344538,1.433355603808251,0.9492182735811062,0.2508247954803502,0.0324313173795942,0.0,0.6057417669604277,0.3942582330395723,51.0,0.4226008837243366,1.5364086687306502,0.7113004418621683,2.4638085574158635,0.10194565827698167,0.3405550873950037
12,0,46.4,232,46.4,35,0.11224589890076053,0.560581078000762,423.0,0.9337748344370861,0.5461604304230864,0.0,0.0,0.2,0.2,,,7.2,2.948796396349481,18.4,0.08217171285748709,1.0,0.5410858564287435,0.09224214802338254,-0.005944714158327554,0.9475797414779663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4379,0.4379,0.0718,0.0,0.3879,0.0072,0.3879,0.0647,0.0718,0.0718,0.0,0.0,0.004329004329004329,0.2,0.004329004329004329,0.2,0.11224589890076053,0.7993200297156969,0.5029723570791638,72.11969757080078,0.0,0.09224214802338254,1.6991437490515668,261.0258483886719,0.01293103448275862,2.948796272277832,453.0,1.0,0.9475797414779663,0.34298820085779547,-0.005944714158327554,1.0,0.3521417484064863,1.6306425713047688,1.139643009833262,0.6083632440798137,0.08217171285748709,0.0359801816351605,0.0,0.4538789259883087,0.5461210740116913,46.4,0.09224214802338254,1.2032307356472387,0.49702764292083623,1.0119605302501744,0.14488589451434988,0.5083037231577322
13,1,47.4,237,47.4,61,0.061755524741278746,0.28364170805144984,973.0,0.5126448893572181,0.5952879649264314,0.2,3.0,5.4,6.4,0.0,0.0,42.6,13.129496402877697,,0.2536743696006356,1.0,0.6268371848003178,-0.026016903273220964,0.03337176261363987,0.9939671754837036,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0961,0.3934,1.0,0.1922,0.1907,0.3797,0.6153,0.1517,1.0,0.00423728813559322,0.2,0.11440677966101695,5.4,0.13559322033898305,6.4,0.061755524741278746,0.6912257224321364,0.4833141186931801,66.65711212158203,1.0,-0.026016903273220964,10.405473069299626,1504.2152099609375,1.0,13.129495620727539,1898.0,1.0,0.9939671754837036,1.1025990344656995,0.03337176261363987,1.0,0.25842148224819705,1.0454246289319595,1.000608226260169,0.9423157394107218,0.2536743696006356,0.04503299979054948,0.0,0.5130084516366105,0.48699154836338954,47.4,0.03337176261363987,1.0534237264705204,0.5166858813068199,1.069047771051822,0.22872714930476665,0.8896740593108766
14,1,44.0,220,44.0,65,0.10678997635841368,0.5306553787655537,404.0,0.9395348837209302,0.5652790279027903,0.0,0.0,0.2,6.0,,,7.0,4.909908881225879,20.2,0.3031420112138371,1.0,0.6515710056069186,-0.2605339337407527,0.1891998141596083,0.935470461845398,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3443,0.6002,0.0,0.4091,0.0076,0.4091,0.9229,1.0,1.0,0.0,0.0,0.0045662100456621,0.2,0.136986301369863,6.0,0.10678997635841368,0.747727242608865,0.40540009292019585,95.47862243652344,0.0,-0.2605339337407527,2.9045277015729383,254.3727264404297,0.6681818181818182,4.909908771514893,430.0,1.0,0.935470461845398,0.8596931780187347,0.1891998141596083,1.0,0.3876201708302062,1.8989203384884739,1.5974666764857501,0.9943925023743229,0.3031420112138371,0.09189152005335134,0.0,0.6302669668703763,0.3697330331296237,44.0,0.2605339337407527,1.7046541974771638,0.5945999070798041,1.4666989906113632,0.16275329688002574,0.5831732616212063
15,0,46.4,232,46.4,35,0.11224589890076053,0.560581078000762,423.0,0.9337748344370861,0.5461604304230864,0.0,0.0,0.2,0.2,,,7.2,2.948796396349481,18.4,0.08217171285748709,1.0,0.5410858564287435,0.09224214802338254,-0.005944714158327554,0.9475797414779663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4379,0.4379,0.0718,0.0,0.3879,0.0072,0.3879,0.0647,0.0718,0.0718,0.0,0.0,0.004329004329004329,0.2,0.004329004329004329,0.2,0.11224589890076053,0.7993200297156969,0.5029723570791638,72.11969757080078,0.0,0.09224214802338254,1.6991437490515668,261.0258483886719,0.01293103448275862,2.948796272277832,453.0,1.0,0.9475797414779663,0.34298820085779547,-0.005944714158327554,1.0,0.3521417484064863,1.6306425713047688,1.139643009833262,0.6083632440798137,0.08217171285748709,0.0359801816351605,0.0,0.4538789259883087,0.5461210740116913,46.4,0.09224214802338254,1.2032307356472387,0.49702764292083623,1.0119605302501744,0.14488589451434988,0.5083037231577322
16,1,28.6,143,28.6,137,0.08459536896811591,0.40891810330931455,5401.0,0.9994448556624722,0.45645393303234444,0.2,18.0,27.6,28.2,0.0,0.0,8.6,24.026427291602754,14.8,0.1163490336918917,0.9940063327550888,0.5551776832234903,0.0832880034450715,0.08805897418462863,0.9367471933364868,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0911,0.4728,1.0,0.1822,0.8171,0.3601,0.6752,0.4003,0.8171,0.007042253521126761,0.2,0.971830985915493,27.6,0.9929577464788732,28.2,0.08459536896811591,0.7993186450718591,0.4559705129076857,151.73729705810547,0.5244755244755245,0.0832880034450715,10.974207180050703,2468.3076171875,0.5384615384615384,24.02642822265625,5404.0,0.9940063327550888,0.9367471933364868,9.904592847489763,0.08805897418462863,1.0,0.28359228032002903,1.1875595664158123,1.0889084698561886,0.6185407126646579,0.1163490336918917,0.09415735471912542,0.0,0.45835599827746426,0.5416440017225358,28.6,0.08805897418462863,1.1817102945266866,0.5440294870923144,1.193124273811225,0.19791879150517894,0.7402696487925144
17,2,54.4,272,54.4,263,0.033087343805366085,0.12639692430501037,80.0,0.5194805194805194,0.43938419117647065,0.0,0.0,0.2,1.2,0.0,2.2,7.6,11.826140377822147,31.2,0.2664753189928052,1.0,0.6332376594964026,-0.20610327057159217,-0.0002357775607127219,0.9654749631881714,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1193,0.6274,1.0,0.2386,0.0062,0.2757,0.8174,0.9368,1.0,0.0,0.0,0.0036900369003690036,0.2,0.02214022140221402,1.2,0.033087343805366085,0.9817001554183661,0.5001178887803563,72.74919891357422,1.0,-0.20610327057159217,8.382025417159586,109.1507339477539,1.0,11.826140403747559,154.0,1.0,0.9654749631881714,1.645058669001325,-0.0002357775607127219,1.0,0.3433258109063963,1.5684755847353304,1.3218778368564388,0.9277823598651354,0.2664753189928052,0.08516827812047499,0.0,0.6030516352857961,0.3969483647142039,54.4,0.20610327057159217,1.5192193466270683,0.49988211121964365,1.0004716663297621,0.15679207787396005,0.5578413357833346
18,2,56.0,280,56.0,292,0.07448671261469521,0.3534721897435361,279.0,0.9823943661971831,0.7471070148489504,1.2,2.8,15.8,55.0,0.0,0.0,2.0,17.199612403100776,34.8,0.0,0.9998199254274369,0.49990996271371846,-0.07941235526403854,0.08429823974298908,0.9816203713417053,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0774,0.4372,1.0,0.1547,0.4719,0.3214,0.6964,0.3832,1.0,0.021505376344086023,1.2,0.2831541218637993,15.8,0.985663082437276,55.0,0.07448671261469521,0.7692749227086703,0.45785088012850544,152.2045440673828,0.9785714285714285,-0.07941235526403854,12.926529689133167,213.44285583496094,0.9821428571428571,17.199613571166992,284.0,0.9998199254274369,0.9816203713417053,2.650635068547196,0.08429823974298908,1.0,0.2925005019744328,1.240285694014143,1.1716487935656836,0.05857737724746159,0.0,0.006507235209518783,3.4,0.5397061776320193,0.4602938223679807,56.0,0.08429823974298908,1.172525355338253,0.5421491198714945,1.184117238606878,0.21064520447091895,0.8005723370429253
19,2,81.4,407,81.4,85,0.010585771666632752,0.0029759492239700537,163.0,0.5125786163522013,0.3849655567446978,0.0,0.0,0.2,0.8,0.0,0.0,0.2,19.866308490035607,52.2,0.3213990925457394,1.0,0.6606995462728698,-0.20071312511283626,-0.024214659685863876,0.9670736789703369,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0735,0.5299,1.0,0.0882,0.0041,0.0882,0.7897,0.9123,1.0,0.0,0.0,0.0024630541871921183,0.2,0.009852216748768473,0.8,0.010585771666632752,0.9909553697022299,0.512107329842932,125.66297912597656,1.0,-0.20071312511283626,13.603385147357162,217.7493896484375,1.0,19.866308212280273,318.0,1.0,0.9670736789703369,2.034680242991623,-0.024214659685863876,1.0,0.3316708792200758,1.4888063481343914,1.2344196203594826,0.9102592393165855,0.3213990925457394,0.052538945774893375,0.6,0.6003565625564181,0.3996434374435819,81.4,0.20071312511283626,1.5022305042633688,0.48789267015706805,1.0496311200536552,0.1804364506228561,0.6604849035562348
